Study,Year,PMID,experimental_events,experimental_total,control_events,control_total,Gender
LUSI,2019,31162856,4,714,13,716,Women
LUSI,2019,31162856,25,1315,27,1307,Men
NELSON,2020,31995683,26,1317,38,1280,Women
NELSON,2020,31995683,160,6583,210,6612,Men
NLST,2011,25372087,158,10953,215,10969,Women
NLST,2011,25372087,311,15769,337,15761,Men
