Study,Year,PMID,experimental_events,experimental_total,control_events,control_total,Gender
NLST,2011,25372087,158,10953,215,10969,Female
LUSI,2019,31162856,4,714,13,716,Female
NELSON,2020,31995683,26,1317,38,1280,Female
NLST,2011,25372087,311,15769,337,15761,Male
DANTE,2015,25760561,61,1300,56,1232,Male
LUSI,2019,31162856,25,1315,27,1307,Male
Nelson,2020,31995683,160,6583,210,6612,Male
